dt,open,high,low,close,vwap,atr,rsi2,adx15
2023-01-03 11:00:00,25872.469,25912.319,25867.419,25902.319,25851.61238345865,29.98960606748861,98.89383125872808,18.990792425677814
2023-01-03 11:05:00,25897.319,25902.999,25862.319,25877.369,25851.830915422892,30.753205634096588,48.256495132280506,18.990792425677814
2023-01-03 11:10:00,25872.519,25882.999,25837.419,25847.469,25851.861518518523,31.812262374518127,21.666423418914306,18.990792425677814
2023-01-03 11:15:00,25842.369,25852.469,25807.419,25822.469,25851.68203921569,32.757815062052494,11.27619461322314,18.054166815820196
2023-01-03 11:20:00,25819.469,25837.999,25812.319,25817.519,25851.46985158151,32.25225684333448,9.476561914585488,18.054166815820196
2023-01-03 11:25:00,25822.269,25842.999,25817.419,25819.419,25851.289724637685,31.775667068810453,19.356801079487738,18.054166815820196
2023-01-03 11:30:00,25817.419,25842.369,25817.319,25827.999,25851.13101438849,31.29526227818108,59.389201342491674,17.18444303523812
2023-01-03 11:35:00,25829.419,25837.999,25797.269,25812.369,25850.879214285716,31.96917211545383,21.145386810561746,17.18444303523812
2023-01-03 11:40:00,25814.469,25837.319,25812.369,25832.419,25850.712475177308,31.467802678635753,70.26722274743933,17.18444303523812
2023-01-03 11:45:00,25837.319,25837.319,25792.369,25797.269,25850.41862441315,32.43081677301897,22.067603596220238,16.04127939308914
2023-01-03 11:50:00,25792.419,25792.999,25782.269,25782.269,25849.967065268065,31.185758432089045,13.918862874242535,16.04127939308914
2023-01-03 11:55:00,25777.469,25797.999,25777.319,25782.999,25849.523583333335,30.435347115511277,16.905411988272405,16.04127939308914
2023-01-03 12:00:00,25787.269,25792.999,25772.269,25787.999,25849.074609195402,29.74210803583187,43.67492975200191,15.455885787378776
2023-01-03 12:05:00,25792.419,25792.419,25767.319,25772.469,25848.583703196346,29.410528890415463,14.552293157743293,15.455885787378776
2023-01-03 12:10:00,25774.419,25797.269,25772.319,25792.999,25848.168365079364,29.09191968395727,69.07401242091339,15.455885787378776
2023-01-03 12:15:00,25787.419,25804.519,25784.269,25792.469,25847.80068918919,28.460353992246038,66.87096602637014,14.734971670575746
2023-01-03 12:20:00,25794.999,25797.369,25777.999,25789.999,25847.402400447427,27.81104299279982,51.54721072609336,14.734971670575746
2023-01-03 12:25:00,25787.519,25797.269,25757.469,25777.419,25846.935622222223,28.66739706474264,15.460063085381407,14.734971670575746
